"BankCode";"bank_id";"BankName";"Country";"primaryContactId";"Telephone";"Address_ID"
"437";"6040";"Ondricka-Bayer";"China";"";"44946-1024";"203"
"461";"6013";"Swaniawski-Fadel";"Philippines";"";"0143-9787";"61"
"435";"6082";"Dibbert and Sons";"Burkina Faso";"";"10345-023";"45"
"437";"6087";"Bogan-Kiehn";"Indonesia";"";"11118-1102";"911"
"441";"6030";"Cartwright, Gleichner and Stroman";"United States";"";"0185-0017";"127"
"450";"6001";"Bayer-Goodwin";"Ukraine";"";"16729-090";"591"
"473";"6008";"Hoppe-Morar";"Serbia";"";"10578-047";"755"
"475";"6100";"Zieme, Cruickshank and Schroeder";"Russia";"";"37000-136";"387"
"458";"6094";"Sauer-Bashirian";"Peru";"";"11673-987";"771"
"488";"6097";"Crooks and Sons";"Finland";"";"15127-895";"14"
"423";"6041";"Kohler and Sons";"China";"";"40046-0072";"844"
"469";"6076";"O'Reilly-Pfannerstill";"Costa Rica";"";"0179-0119";"535"
"416";"6051";"Langosh-Buckridge";"Portugal";"";"0185-0649";"488"
"488";"6095";"Langworth Inc";"Armenia";"";"0093-2203";"542"
"458";"6055";"Jenkins, Schamberger and Terry";"Chile";"";"0591-0349";"180"
"431";"6092";"Jacobs LLC";"China";"";"10096-4423";"205"
"474";"6021";"Rice LLC";"Japan";"";"0093-6903";"790"
"466";"6063";"McDermott-Flatley";"Burkina Faso";"";"11084-106";"642"
"459";"6031";"Feil, Langosh and Hilll";"United States";"";"34690-6001";"10"
"433";"6016";"Kessler Inc";"Poland";"";"0430-0170";"698"
"435";"6086";"Treutel Inc";"Nigeria";"";"0944-2963";"441"
"471";"6014";"Mraz-Lehner";"Croatia";"";"0409-7965";"911"
"492";"6038";"Bogan and Sons";"China";"";"30142-854";"983"
"463";"6068";"Carter, Rutherford and Romaguera";"Nicaragua";"";"0093-2268";"344"
"467";"6075";"Gleichner, Stoltenberg and Fritsch";"Indonesia";"";"0009-5135";"462"
"467";"6057";"Mraz-Armstrong";"Brazil";"";"0268-1606";"756"
"416";"6060";"Farrell, Daugherty and DuBuque";"Nigeria";"";"0187-0003";"307"
"442";"6069";"Johns, Kris and Beer";"Peru";"";"0074-3054";"888"
"400";"6049";"Lakin LLC";"Peru";"";"0006-3801";"285"
"409";"6032";"Emard-Smitham";"Czech Republic";"";"0039-0067";"348"
"468";"6034";"Orn, Gibson and Schoen";"China";"";"0220-9352";"44"
"489";"6018";"Hilll LLC";"Germany";"";"0054-8550";"331"
"483";"6078";"Kshlerin and Sons";"Indonesia";"";"0026-3782";"368"
"449";"6019";"Hartmann, Beier and Morar";"Philippines";"";"0555-0098";"657"
"466";"6020";"Farrell-White";"Philippines";"";"0186-1092";"262"
"475";"6023";"Nader, Herzog and Botsford";"Russia";"";"35356-007";"133"
"469";"6022";"Bode LLC";"Philippines";"";"0268-0816";"918"
"436";"6093";"Collins-Hartmann";"Peru";"";"30142-798";"128"
"468";"6011";"Sanford Group";"Democratic Republic of the Congo";"";"0031-8715";"157"
"438";"6028";"Cummings-Heller";"Portugal";"";"0268-6137";"978"
"481";"6017";"Schulist Group";"China";"";"36987-1562";"270"
"421";"6005";"Greenholt Inc";"Argentina";"";"37205-022";"368"
"465";"6015";"Graham-Mills";"Greece";"";"0093-0148";"117"
"432";"6071";"Williamson Inc";"China";"";"0115-1208";"361"
"407";"6039";"Weber LLC";"China";"";"0268-1076";"802"
"423";"6073";"Hagenes Group";"China";"";"0299-3822";"311"
"424";"6053";"Kemmer-Russel";"Indonesia";"";"0006-4995";"507"
"495";"6000";"Batz, Gutmann and Streich";"Czech Republic";"";"0404-0360";"18"
"477";"6054";"Bins Group";"Canada";"";"11523-7250";"65"
